20:29:15.175 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
20:29:15.249 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
20:29:16.779 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Starting ProtocolHandler ["http-nio-8081"]
20:29:16.791 [main] INFO  o.a.t.u.n.NioSelectorPool - [log,180] - Using a shared selector for servlet write/read
20:29:16.814 [main] INFO  i.s.b.c.BackendCommonApplication - [logStarted,59] - Started BackendCommonApplication in 3.859 seconds (JVM running for 4.707)
21:57:28.358 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
21:57:29.566 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
21:57:29.574 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
21:57:29.575 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
21:57:29.580 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
21:57:29.654 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
21:57:29.784 [main] INFO  o.a.c.c.StandardService - [log,180] - Stopping service [Tomcat]
21:57:46.435 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
21:57:47.681 [main] INFO  o.a.c.h.Http11NioProtocol - [log,180] - Initializing ProtocolHandler ["http-nio-9001"]
21:57:47.689 [main] INFO  o.a.c.c.StandardService - [log,180] - Starting service [Tomcat]
21:57:47.690 [main] INFO  o.a.c.c.StandardEngine - [log,180] - Starting Servlet Engine: Apache Tomcat/8.5.34
21:57:47.696 [localhost-startStop-1] INFO  o.a.c.c.AprLifecycleListener - [log,180] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/mesay/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
21:57:47.773 [localhost-startStop-1] INFO  o.a.c.c.C.[.[.[/] - [log,180] - Initializing Spring embedded WebApplicationContext
21:57:47.924 [main] INFO  o.a.c.c.StandardService - [log,180] - Stopping service [Tomcat]
21:58:19.997 [main] INFO  i.s.u.BackendUserApplication - [logStartupProfileInfo,654] - No active profile set, falling back to default profiles: default
